aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter
306,우장산롯데캐슬,2003,개인, , ,110000,29,3,2025,중개거래,서울 강서구,85.0,14,1145,N,25.07.01,11500,개인,화곡동,22,0,2025-03,1
 ,청솔102동,1997,개인, , ,56991,17,3,2025,직거래, ,117.69,7,673-14,N,25.07.01,11500,개인,내발산동,28,0,2025-03,1
 ,강변,1992,개인, , ,73000,29,3,2025,중개거래,서울 강서구,49.5,4,1475,N, ,11500,개인,가양동,33,0,2025-03,1
703,마곡엠밸리7단지,2014,개인, , ,170000,8,3,2025,중개거래,서울 강서구,84.91,12,743-4,N,25.06.23,11500,개인,마곡동,11,0,2025-03,1
410,마곡수명산파크4단지,2008,개인, , ,90000,23,3,2025,중개거래,서울 강서구,59.84,10,753,N,25.07.25,11500,개인,내발산동,17,0,2025-03,1
 ,등촌동아이파크,2004,개인, , ,123000,10,3,2025,중개거래,서울 강서구,134.8836,9,715,N, ,11500,개인,등촌동,21,0,2025-03,1
103,강서쌍용예가,2014,개인, , ,101000,20,3,2025,중개거래,서울 강서구,84.9025,18,308,N,25.06.30,11500,개인,염창동,11,1,2025-03,1
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1
2,신동아,1995,개인, , ,67500,22,3,2025,중개거래,서울 강서구,59.82,9,289,N,25.07.31,11500,개인,염창동,30,0,2025-03,1
 ,주공3,1995,개인, , ,57400,3,3,2025,중개거래,서울 강서구,37.67,6,688,N, ,11500,개인,등촌동,30,0,2025-03,1
102,마곡금호어울림,2005,개인, , ,91000,15,3,2025,중개거래,서울 강서구,84.948,11,717,N,25.06.27,11500,개인,마곡동,20,0,2025-03,1
105,강변한솔솔파크,2005,개인, , ,107000,25,3,2025,중개거래,서울 강서구,84.97,23,300,N,25.07.04,11500,개인,염창동,20,1,2025-03,1
 ,스위트드림아파트,2019,개인, , ,43000,29,3,2025,중개거래,서울 강서구,49.53,4,1168,N,25.05.16,11500,법인,화곡동,6,0,2025-03,1
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1
1403,마곡엠벨리(14단지),2014,개인, , ,178000,29,3,2025,중개거래,서울 강서구,114.86,6,750,N,25.07.18,11500,개인,마곡동,11,0,2025-03,1
108,초록,1998,개인, , ,70000,26,3,2025,중개거래,서울 강서구,59.34,4,1139,N,25.07.29,11500,개인,화곡동,27,0,2025-03,1
101,가양강나루현대,1999,개인, , ,89500,1,3,2025,중개거래,"서울 강서구, 서울 서초구",59.76,11,448-1,N,25.06.20,11500,개인,가양동,26,0,2025-03,1
 ,가양강나루현대,1999,개인,25.04.28,O,89500,1,3,2025,중개거래,"서울 강서구, 서울 서초구",59.76,11,448-1,N, ,11500,개인,가양동,26,0,2025-03,1
1018동,마곡엠밸리10단지,2016,개인, , ,136000,14,3,2025,중개거래,서울 강서구,84.89,10,747,N,25.07.15,11500,개인,마곡동,9,0,2025-03,1
106,동성,1993,개인, , ,60000,28,3,2025,중개거래,서울 강서구,64.65,1,817,N,25.04.24,11500,개인,방화동,32,0,2025-03,1
 ,태영,1999,개인, , ,70000,26,3,2025,직거래, ,84.93,2,270-1,N, ,11500,개인,염창동,26,0,2025-03,1
603,가양6단지,1992,개인, , ,73500,11,3,2025,중개거래,서울 강서구,49.5,10,1485,N,25.06.09,11500,개인,가양동,33,0,2025-03,1
101동,신마곡벽산블루밍,2020,개인, , ,89500,26,3,2025,직거래, ,72.8607,5,904,N,25.06.25,11500,개인,방화동,5,0,2025-03,1
