aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter,estateAgentSggNmClean,aptAddress,isStationNearby,aptLat,aptLng,area_bin,nearestElementaryDistance,nearestElementaryName,nearestMiddleDistance,nearestMiddleName,isSchoolPremium
306,우장산롯데캐슬,2003,개인, , ,110000,29,3,2025,중개거래,서울 강서구,85.0,14,1145,N,25.07.01,11500,개인,화곡동,22,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1145,0,37.5556368030986,126.848318501804,60~90,488.6887008828377,서울등원초등학교,549.7779971750749,등원중학교,True
 ,청솔102동,1997,개인, , ,56991,17,3,2025,직거래, ,117.69,7,673-14,N,25.07.01,11500,개인,내발산동,28,0,2025-03,1, ,  내발산동 673-14,0,37.5530862249558,126.841165009891,90~120,360.7375085000248,서울내발산초등학교,641.0414159295394,명덕여자중학교,True
 ,강변,1992,개인, , ,73000,29,3,2025,중개거래,서울 강서구,49.5,4,1475,N, ,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60,336.3626633132198,서울탑산초등학교,478.4224789287357,경서중학교,True
703,마곡엠밸리7단지,2014,개인, , ,170000,8,3,2025,중개거래,서울 강서구,84.91,12,743-4,N,25.06.23,11500,개인,마곡동,11,0,2025-03,1,서울 강서구,서울 강서구 마곡동 743-4,1,37.5648812125749,126.823376663134,60~90,268.9169831745912,서울공항초등학교,394.0812278889057,마곡중학교,True
410,마곡수명산파크4단지,2008,개인, , ,90000,23,3,2025,중개거래,서울 강서구,59.84,10,753,N,25.07.25,11500,개인,내발산동,17,0,2025-03,1,서울 강서구,서울 강서구 내발산동 753,0,37.5512348671569,126.823351155728,30~60,176.9456436477628,서울수명초등학교,302.64821743453786,수명중학교,True
 ,등촌동아이파크,2004,개인, , ,123000,10,3,2025,중개거래,서울 강서구,134.8836,9,715,N, ,11500,개인,등촌동,21,0,2025-03,1,서울 강서구,서울 강서구 등촌동 715,0,37.5439005769284,126.859981715413,120~150,254.28408858802376,서울등마초등학교,495.66680848427035,백석중학교,True
103,강서쌍용예가,2014,개인, , ,101000,20,3,2025,중개거래,서울 강서구,84.9025,18,308,N,25.06.30,11500,개인,염창동,11,1,2025-03,1,서울 강서구,서울 강서구 염창동 308,0,37.5554016793389,126.866556386664,60~90,258.47489868972553,서울염창초등학교,363.9018617687139,염경중학교,True
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1,서울 강서구,서울 강서구 화곡동 377-21,0,37.5372146687228,126.835554973928,60~90,254.94513042599058,서울월정초등학교,616.2580906788146,화원중학교,True
2,신동아,1995,개인, , ,67500,22,3,2025,중개거래,서울 강서구,59.82,9,289,N,25.07.31,11500,개인,염창동,30,0,2025-03,1,서울 강서구,서울 강서구 염창동 289,0,37.5551294880285,126.869050974189,30~60,190.83593449074172,서울염경초등학교,146.19929450410322,염경중학교,True
 ,주공3,1995,개인, , ,57400,3,3,2025,중개거래,서울 강서구,37.67,6,688,N, ,11500,개인,등촌동,30,0,2025-03,1,서울 강서구,서울 강서구 등촌동 688,1,37.5616418349754,126.841111422493,30~60,139.5977986133136,서울등명초등학교,251.74681000774885,등명중학교,True
102,마곡금호어울림,2005,개인, , ,91000,15,3,2025,중개거래,서울 강서구,84.948,11,717,N,25.06.27,11500,개인,마곡동,20,0,2025-03,1,서울 강서구,서울 강서구 마곡동 717,0,37.5745942801032,126.837612448089,60~90,517.8150903587243,서울양천초등학교,890.6414417808256,성재중학교,False
105,강변한솔솔파크,2005,개인, , ,107000,25,3,2025,중개거래,서울 강서구,84.97,23,300,N,25.07.04,11500,개인,염창동,20,1,2025-03,1,서울 강서구,서울 강서구 염창동 300,0,37.5566842439508,126.866552401948,60~90,394.81737002060237,서울염창초등학교,424.5347607788511,염경중학교,True
 ,스위트드림아파트,2019,개인, , ,43000,29,3,2025,중개거래,서울 강서구,49.53,4,1168,N,25.05.16,11500,법인,화곡동,6,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1168,1,37.5439270920666,126.836189632424,30~60,489.4465812187484,서울신월초등학교,586.5554541023882,화곡중학교,True
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1,서울 강서구,서울 강서구 화곡동 377-21,0,37.5372146687228,126.835554973928,60~90,254.94513042599058,서울월정초등학교,616.2580906788146,화원중학교,True
1403,마곡엠벨리(14단지),2014,개인, , ,178000,29,3,2025,중개거래,서울 강서구,114.86,6,750,N,25.07.18,11500,개인,마곡동,11,0,2025-03,1,서울 강서구,서울 강서구 마곡동 750,1,37.5568364485914,126.824616701317,90~120,194.35554043112242,서울공진초등학교,353.2979872165277,마곡하늬중학교,True
108,초록,1998,개인, , ,70000,26,3,2025,중개거래,서울 강서구,59.34,4,1139,N,25.07.29,11500,개인,화곡동,27,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1139,1,37.545684414842,126.833623087174,30~60,531.6052700542137,서울강신초등학교,314.05879144888075,화곡중학교,True
